15890366051589533-APPLE,70
35618482303951104-IMPOSSIBLE,1218
6958143575951994-PARK,1687
8006032738002744-SOCCER 2,2190
37542279833186454-STINK,2280
9498964909837952-ROSE,1978
9618808117704574-HUG,1191
15543213389651633-TUBE,2510
9162908944303221-COUNT,534
14154575310664197-NICE,1578
996512226187074-EASY TO_DO,746
0033742275375785447-INFLUENCE,1228
02808154918358552-PEACOCK,1702
8068093518563271-CIRCUSWHEEL,444
6652814499755777-NOSE,1593
23247991626849585-GYM,1069
20880000068819649-WEAVE,2624
13621431540213602-SMOOTH,2171
4520498201410337-BACKPACK,121
16994877911771145-WE,2620
7090729284366466-DOWNHILL,693
19003684436528423-JUICE 2,1283
8221969382671432-SCOLD,2030
12338257144617781-POWDER,1821
7480838717347633-SOCIAL,2191
6523179384259175-PULL CONVINCE,1863
7448818785190525-CAPTURE,357
02551571232229133-PONDER,1802
8643853796183107-JOKE,1278
8782764153522997-SOCIETY,2193
7316392299762329-WATERDROP,2616
21344274764159632-ANYONE,67
2381384470099226-MAPLE,1447
44939873429204336-CEMETERY,391
48967843716521897-FAIL,833
5670505226343947-KNIGHT,1312
6235541652821013-ALL OF_SUDDEN,47
9037793072145501-TOTAL,2475
9060451576078816-COOL 3,520
03909340585346133-FASHION,847
6831527585028447-LONG AGO,1404
34318091362618364-BECOME,175
001428415918161674-IMPROVE,1220
5266228840785678-UNCERTAIN,2534
1676037390807208-GREET,1049
03369501517929252-PROPOSE,1854
36286598060839914-TOSS OUT,2474
42981546208191546-SQUARE,2241
8517954107198269-EMPTY 2,775
9228494689014171-PACK,1667
6508465822424006-THANK YOU,2407
721478559560571-EACH OTHER,731
23746553103054158-PRECIOUS,1826
7054741400093962-WILL GO,2665
6490408879992484-LAY DOWN,1337
5880724478842327-PARANOID,1685
7552681133614059-ALASKA,40
6585783944135442-EXPERIMENT,821
7721480534101262-EVERY NIGHT,809
2911495969703426-GET TOGETHER,992
7054386695414354-STORY 3,2286
07792809391288658-SQUEEZE,2243
7958435331951532-REMOVE,1924
0020443210100780096-KNOCK OFF,1320
44178831586926837-MOSQUITO,1523
9533248897839621-BETWEEN,197
81146496428304-TOY 3,2483
8058014641528197-SPICY,2227
008279096911288919-JEWELRY,1274
